Kind of Pet,Pet Full Name,All Pet Everyday Names,Pet Everyday Name 1,Pet Everyday Name 2,Pet Everyday Name 3,Pet Everyday Name 4,Pet Everyday Name 5,Pet Everyday Name 6,Pet Everyday Name 7,Pet Everyday Name 8,Pet Age (Years),Deceased?,All Pet Breed(s),Pet Breed 1,Pet Breed 2,Pet Breed 3
Cat,Zelda,Zelda,Zelda,,,,,,,,8,,Domestic Shorthair,Domestic Shorthair,,
Dog,Daisy Duke,Daisy,Daisy,,,,,,,,4,,Siberian Husky/ Brittany/ Cocker Spaniel,Siberian Husky,Brittany,Cocker Spaniel
Guinea Pig,Stewie,Stewie,Stewie,,,,,,,,2,,,,,
Dog,Sunny Sunday Sky,Sunny,Sunny,,,,,,,,15.5,,Beagle,Beagle,,
Guinea Pig,Francisco,Cisco,Cisco,,,,,,,,2,,,,,
Horse,Dream On Chip,Diva,Diva,,,,,,,,15,,Appaloosa,Appaloosa,,
Dog,Bailey,Bailey,Bailey,,,,,,,,3,,Border Collie,Border Collie,,
Horse,Tundra,Tundra,Tundra,,,,,,,,12,,Appaloosa/ Paint/ Tennessee Walking Horse,Appaloosa,Paint,Tennessee Walking Horse
Dog,Bosco Spaghettio,Bosco,Bosco,,,,,,,,9,,Border Collie,Border Collie,,
Cat,Agnes Marie,Aggie Turd,Aggie Turd,,,,,,,,2,,,,,
Dog,Tansei,Duffus,Duffus,,,,,,,,7,,Shiba Inu,Shiba Inu,,
Cat,Edith,Eduf Monster,Eduf Monster,,,,,,,,1,,,,,
Cat,Mini,Mimi,Mimi,,,,,,,,13,,Tuxedo Coloration,Tuxedo Coloration,,
Cat,Theodore,Ted,Ted,,,,,,,,4,,Persian,Persian,,
Dog,Molly,Molly,Molly,,,,,,,,16,,Golden Retriever,Golden Retriever,,
Dog,Duke Dukington,Duka,Duka,,,,,,,,3,,Chihuahua,Chihuahua,,
Cat,Oliver Newton,Ollie,Ollie,,,,,,,,4,,Maine Coon,Maine Coon,,
Dog,Prince Phillip The 2nd,Phillip; Daddy-o,Phillip,Daddy-o,,,,,,,12,,West Highland White Terrier,West Highland White Terrier,,
Cat,Starla,Starla,Starla,,,,,,,,4,,Domestic Shorthair,Domestic Shorthair,,
Dog,Petey,Petey Poopoo Head,Petey Poopoo Head,,,,,,,,11,,West Highland White Terrier,West Highland White Terrier,,
Dog,President Nixon,Nixy,Nixy,,,,,,,,8,,Mixed,Mixed,,
Dog,Daisy Doodle Fat Kid With Butt Spots,Daisy,Daisy,,,,,,,,4,,Hound,Hound,,
Dog,Benry Of Willowbrook,Benry,Benry,,,,,,,,8,,Golden Retriever,Golden Retriever,,
Dog,Qoda,Qoda,Qoda,,,,,,,,2.5,,Golden Retriever,Golden Retriever,,
Dog,Ziggy Starsog,Zig,Zig,,,,,,,,1.5,,Hound,Hound,,
Dog,Samuel Labrador,Sam,Sam,,,,,,,,13,,Labrador Retriever,Labrador Retriever,,
Hamster,Princess Consuela Banana Hammock,Banana,Banana,,,,,,,,,deceased,,,,
Dog,Bentley Boy,Bentley,Bentley,,,,,,,,13,,Shih Tzu/ Bichon,Shih Tzu,Bichon,
Dog,Pluto,Pluto,Pluto,,,,,,,,,deceased,Golden Retriever,Golden Retriever,,
Hamster,Scooter Computer,Scooter,Scooter,,,,,,,,2,,,,,
Dog,Toby,Toby,Toby,,,,,,,,6,,Beagle,Beagle,,
Dog,Harlee,Harlee,Harlee,,,,,,,,3,,Anatolian Shepherd,Anatolian Shepherd,,
Dog,Nessa,Nessa,Nessa,,,,,,,,1,,Golden Retriever,Golden Retriever,,
Dog,Biscuit Bandit,Bandit,Bandit,,,,,,,,3,,Labrador Retriever,Labrador Retriever,,
Cat,Sophie,Fuzzbutt,Fuzzbutt,,,,,,,,2,,,,,
Dog,The Real Slim Sadie,Sadie,Sadie,,,,,,,,1.5,,Golden Retriever,Golden Retriever,,
Dog,Quincy Sugarplum,Quincy,Quincy,,,,,,,,3,,Golden Retriever,Golden Retriever,,
Dog,Skipper Doo,Skip,Skip,,,,,,,,4,,Yorkiepoo,Yorkiepoo,,
Dog,Sam Ruffalo,Sam,Sam,,,,,,,,6,,Golden Retriever/ Labrador Retriever,Golden Retriever,Labrador Retriever,
Dog,Brutus Buckeye,Brutus,Brutus,,,,,,,,11,deceased,Golden Retriever,Golden Retriever,,
Dog,Crespo,Crespo; Baby,Crespo,Baby,,,,,,,12,,Shih Tzu,Shih Tzu,,
Dog,Rossignol,Rozzie,Rozzie,,,,,,,,,deceased,Siberian Husky,Siberian Husky,,
Hamster,Peaches,Peaches,Peaches,,,,,,,,3,,,,,
Dog,Pepper,Pepper,Pepper,,,,,,,,4,,Mixed,Mixed,,
Dog,Amaya,Maya,Maya,,,,,,,,6,,Siberian Husky,Siberian Husky,,
Cat,Eloise,Ellie,Ellie,,,,,,,,10,,,,,
Cat,Olive,Ollie,Ollie,,,,,,,,4,,,,,
Cat,Kiki Buntain,Kiki,Kiki,,,,,,,,18,,Unknown,Unknown,,
Dog,Tiger,Tiger,Tiger,,,,,,,,12,,,,,
Dog,Bonnie,Bonnie,Bonnie,,,,,,,,8,,West Highland White Terrier,West Highland White Terrier,,
Dog,Abby,Abby,Abby,,,,,,,,11,,Cavalier King Charles Spaniel,Cavalier King Charles Spaniel,,
Lizard,Gomez,Gomie,Gomie,,,,,,,,10,,Leopard Gecko,Leopard Gecko,,
Dog,Cooper,Coop,Coop,,,,,,,,7,,Labrador Retriever,Labrador Retriever,,
Dog,Chase,Chase,Chase,,,,,,,,3,,Husky,Husky,,
Hamster,Steve Hammond,Steve,Steve,,,,,,,,0.333333333,,Russian Campbell,Russian Campbell,,
Dog,Riley Jenkins,Riley,Riley,,,,,,,,1.5,,Golden Retriever,Golden Retriever,,
Dog,Montgomery T Dog,Monty; Monkey; Monkeyrunk,Monty,Monkey,Monkeyrunk,,,,,,2,,Dalmatian/ Labrador Retriever,Dalmatian,Labrador Retriever,
Dog,Nana Roo,Nana,Nana,,,,,,,,5,,German Shepherd,German Shepherd,,
Cat,Ella Grey,Ella,Ella,,,,,,,,7,,,,,
Dog,Callie,Cal Gal (the Golden),Cal Gal (the Golden),,,,,,,,3,,Golden Retriever,Golden Retriever,,
Dog,Rocco Norbert,Rocco,Rocco,,,,,,,,10,,Golden Retriever /  Chow Chow,Golden Retriever,Chow Chow,
Dog,Jack,Jack,Jack,,,,,,,,3,,Terrier,Terrier,,
Dog,Ted,Ted,Ted,,,,,,,,0.5,,Welsh Terrier,Welsh Terrier,,
Snake,Desiree,Desiree,Desiree,,,,,,,,11,,Rosy Boa,Rosy Boa,,
Dog,Jaida Lynn,Jaida,Jaida,,,,,,,,12,,Labrador Retriever/ Terrier,Labrador Retriever,Terrier,
Snake,Gaia,Gaia,Gaia,,,,,,,,10,,Dumeril’s Boa,Dumeril’s Boa,,
Dog,Daisy Lulu,Daisy,Daisy,,,,,,,,9,,Poodle,Poodle,,
Cat,Phillip,Phillip,Phillip,,,,,,,,16,,Tabby Coloration,Tabby Coloration,,
Cat,Sunni,Sunni,Sunni,,,,,,,,10,,Birman,Birman,,
Cat,Nymeria,Nym,Nym,,,,,,,,5,,Domestic Mediumhair,Domestic Mediumhair,,
Cat,Scarlett,Scar,Scar,,,,,,,,8.5,,,,,
Cat,Ink,Ink,Ink,,,,,,,,0.5,,Domestic Mediumhair,Domestic Mediumhair,,
Cat,Drew,Drewbeans,Drewbeans,,,,,,,,7,,,,,
Dog,Titus,Titus,Titus,,,,,,,,7,,Labrador Retriever,Labrador Retriever,,
Cat,Midna,Midna,Midna,,,,,,,,8,,Domestic Shorthair,Domestic Shorthair,,
Dog,Cookie Asparagus,Cookie,Cookie,,,,,,,,11,,Chihuahua Jack Russell Terrier,Chihuahua Jack Russell Terrier,,
Dog,Tessa Leigh,Tessa,Tessa,,,,,,,,11,,Labradoodle,Labradoodle,,
Dog,Ali,Ali,Ali,,,,,,,,5,,Greyhound,Greyhound,,
Dog,Daisy,Daisy; Dandelion,Daisy,Dandelion,,,,,,,4,,Labrador Retriever,Labrador Retriever,,
Dog,Lucky,Luck Luck,Luck Luck,,,,,,,,5,,Labrador Retriever,Labrador Retriever,,
Cat,Rex,Rex,Rex,,,,,,,,7,,Maine Coon,Maine Coon,,
Dog,Harper Jean,Harper Jean,Harper Jean,,,,,,,,1.5,,German Shepherd,German Shepherd,,
Cat,Maverick,Maverick,Maverick,,,,,,,,2,,,,,
Hermit Crab,Rork,Rork,Rork,,,,,,,,2,,,,,
Cat,Tina Fay,Tina,Tina,,,,,,,,6,,,,,
Cat,Sophie,Sophie,Sophie,,,,,,,,4,,Domestic Shorthair,Domestic Shorthair,,
Dog,Max-well,Max,Max,,,,,,,,6,,Golden Retriever,Golden Retriever,,
Dog,Mica,Mica,Mica,,,,,,,,6,,Labrador Retriever,Labrador Retriever,,
Cat,Patches,Patches,Patches,,,,,,,,10,,Tuxedo Coloration,Tuxedo Coloration,,
Cat,Asch,Asch,Asch,,,,,,,,4,,Domestic Shorthair,Domestic Shorthair,,
Rat,Yuri,Yuri,Yuri,,,,,,,,1,,,,,
Rat,Ravio,Ravio,Ravio,,,,,,,,1,,,,,
Dog,Sylvester Balboa,Sly,Sly,,,,,,,,6,,Golden Retriever,Golden Retriever,,
Dog,Mia Roo,Mia,Mia,,,,,,,,11,,Australian Shepherd,Australian Shepherd,,
Hamster,Melody,Melody,Melody,,,,,,,,1,,Winter White,Winter White,,
Dog,Casper Tiberus,Casp,Casp,,,,,,,,4,,Mixed,Mixed,,
Dog,Chummy,Chumbles,Chumbles,,,,,,,,5,,Labradoodle,Labradoodle,,
Dog,Luna Bean,Luna,Luna,,,,,,,,7,,Italian Greyhound/ Chihuahua,Italian Greyhound,Chihuahua,
Gerbil,Brown Gerbil,Brown Gerb,Brown Gerb,,,,,,,,2,,,,,
Cat,Gabby Comacho,Cho Cho,Cho Cho,,,,,,,,16,,Domestic Shorthair,Domestic Shorthair,,
Gerbil,White Gerbil,White Gerb,White Gerb,,,,,,,,2,,,,,
Dog,Sofie Tooter Scooter,Sofie,Sofie,,,,,,,,7,,Chihuahua,Chihuahua,,
Dog,Mojo,Mojo,Mojo,,,,,,,,5,,Labradoodle,Labradoodle,,
Dog,Grace,Grace,Grace,,,,,,,,1,,Mixed,Mixed,,
Cat,Misha,Misha,Misha,,,,,,,,8,,Tabby Coloration,Tabby Coloration,,
Dog,Frankie,Frankie,Frankie,,,,,,,,1,,Mixed,Mixed,,
Guinea Pig,Dollar Dollar Bills Y'all,Bill,Bill,,,,,,,,2,,,,,
Dog,Osa,Osa,Osa,,,,,,,,9,,Akita,Akita,,
Dog,Dixie,Dixie,Dixie,,,,,,,,12.5,,Pitbull,Pitbull,,
Cat,Barnabas,Bucky,Bucky,,,,,,,,0.916666667,,Unknown,Unknown,,
Dog,Nina,Nina,Nina,,,,,,,,7,,West Highland White Terrier,West Highland White Terrier,,
Cat,Bitsy,Bitsy,Bitsy,,,,,,,,15,,Domestic Shorthair,Domestic Shorthair,,
Dog,Rachel,Rachel,Rachel,,,,,,,,8,,Schnauzer,Schnauzer,,
Dog,Piper,Piper,Piper,,,,,,,,9,,Labrador Retriever,Labrador Retriever,,
Dog,Bella,Belly,Belly,,,,,,,,10,,Yorkiepoo,Yorkiepoo,,
Dog,Queen Khaleesi,Queenie,Queenie,,,,,,,,12,,Mountain Dog,Mountain Dog,,
Cat,Pumpkin,Pumpkin,Pumpkin,,,,,,,,6,,,,,
Dog,Bridget,Bridgy; Pookie Bridge,Bridgy,Pookie Bridge,,,,,,,15,,Mixed,Mixed,,
Dog,Bodacious,Bodie,Bodie,,,,,,,,14,,Labrador Retriever,Labrador Retriever,,
Dog,Mama Rose,Rosie,Rosie,,,,,,,,7,,Pitbull,Pitbull,,
Dog,Augustus,Gus,Gus,,,,,,,,8,,Golden Retriever,Golden Retriever,,
Cat,Sunshine,Sunshine,Sunshine,,,,,,,,7,,Toyger,Toyger,,
Dog,Tater,Tater,Tater,,,,,,,,0.25,,Labrador/ Great Pyrenees,Labrador Retriever,,
Cat,Millicent,Millie,Millie,,,,,,,,6,,,,,
Hedgehog,Gustavus Ericius Hedgehog Of The North,Gus,Gus,,,,,,,,1.5,,,,,
Dog,Beverly Ann,Beverlana,Beverlana,,,,,,,,13,,Golden Retriever,Golden Retriever,,
Dog,Cora Smalls,Cora,Cora,,,,,,,,3,,Havanese,Havanese,,
Dog,Jasper,Jasper,Jasper,,,,,,,,16,,Dalmatian/ Beagle,Dalmatian,Beagle,
Cat,Dust,Dust,Dust,,,,,,,,1,,,,,
Dog,Caleb,Caliber,Caliber,,,,,,,,1.5,,Blue Tick Coonhound,Blue Tick Coonhound,,
Dog,Tonka,Tonks; Tonkers; Sir Tail,Tonks,Tonkers,Sir Tail,,,,,,8,,Newfoundland,Newfoundland,,
Bird,Spike,Spiker-doodle,Spiker-doodle,,,,,,,,13,,Cockatiel,Cockatiel,,
Cat,Ash,Ashy Boy,Ashy Boy,,,,,,,,9,,,,,
Cat,Blossom,Moose,Moose,,,,,,,,6,,British Longhair,British Longhair,,
Cat,Violet,Violet,Violet,,,,,,,,14,,Domestic Shorthair,Domestic Shorthair,,
Cat,Thor,Thor,Thor,,,,,,,,4,,,,,
Dog,Hank,Baby,Baby,,,,,,,,2,,Boxer,Boxer,,
Dog,Brandy,Puddin,Puddin,,,,,,,,5,,Pitbull/ Labrador Retriever,Pitbull,Labrador Retriever,
Cat,Lily,Lillibutt,Lillibutt,,,,,,,,11,,Domestic Shorthair,Domestic Shorthair,,
Dog,Sir Squeaksalot The Second,Twoie,Twoie,,,,,,,,9,,Chinese Crested Powder Ouff,Chinese Crested Powder Ouff,,
Cat,Buddy,Buddy Boi,Buddy Boi,,,,,,,,4,,Domestic Shorthair,Domestic Shorthair,,
Dog,Colby Jack,Jack,Jack,,,,,,,,5,,German Shepherd,German Shepherd,,
Dog,Cooper,Coop,Coop,,,,,,,,0.115384615,,Labradoodle,Labradoodle,,
Dog,Murphy,Murph,Murph,,,,,,,,1,,Golden Doodle,Golden Doodle,,
Dog,Phineas,,,,,,,,,,7,,Wheaten Terrier,Wheaten Terrier,,
Dog,Peach,Peach,Peach,,,,,,,,2,,Mixed,Mixed,,
Dog,Moose Alexander,Moose,Moose,,,,,,,,0.666666667,,Maltipoo,Maltipoo,,
Cat,Eliza Goose,Eliza,Eliza,,,,,,,,2,,,,,
Guinea Pig,Nibbles,Nibsey,Nibsey,,,,,,,,5,,Shorthair,Shorthair,,
Cat,Chichi,Chichi,Chichi,,,,,,,,9,,Tabby Coloration,Tabby Coloration,,
Cat,Isabella,Izzy,Izzy,,,,,,,,4,,,,,
Dog,Ruby,Ruebs,Ruebs,,,,,,,,6,,Rhodesian Ridgeback,Rhodesian Ridgeback,,
Dog,Ruby,Ruby,Ruby,,,,,,,,4,,Labrador Retriever,Labrador Retriever,,
Dog,Min Ottende Bold,Otte,Otte,,,,,,,,9,,Labrador Retriever,Labrador Retriever,,
Dog,Min Fine Nimina Beana,Mina,Mina,,,,,,,,6,,Labrador Retriever,Labrador Retriever,,
Dog,Lucy,Lu,Lu,,,,,,,,3,,Great Pyrenees,Great Pyrenees,,
Cat,Belvedere,Biff,Biff,,,,,,,,16,,Domestic Shorthair,Domestic Shorthair,,
Cat,Heaven,Kitty,Kitty,,,,,,,,8,,Domestic Shorthair,Domestic Shorthair,,
Dog,Lucy Lu,Luey,Luey,,,,,,,,4,,Basset Hound,Basset Hound,,
Dog,Katniss Underfoot,Katniss,Katniss,,,,,,,,9,,Pitbull Ish,Pitbull,,
Dog,Sadie,Sayd,Sayd,,,,,,,,13,,Border Collie,Border Collie,,
Dog,Coco  Chanel Mademoiselle,Coco,Coco,,,,,,,,5,,Golden Retriever,Golden Retriever,,
Dog,Maggie,Mags,Mags,,,,,,,,8,,Border Collie,Border Collie,,
Dog,Gunner Baker,Gunner,Gunner,,,,,,,,12,,Labrador Retriever,Labrador Retriever,,
Rabbit,Lady Sybil,Lady,Lady,,,,,,,,1.75,,Holland Lop,Holland Lop,,
Cat,Ashley Williams,Ash,Ash,,,,,,,,8,,Maine Coon,Maine Coon,,
Dog,April In Paris,Paris,Paris,,,,,,,,6,,Golden Retriever,Golden Retriever,,
Rabbit,Colby,,,,,,,,,,3,,,,,
Cat,Mister,Mister,Mister,,,,,,,,2,,American Shorthair,American Shorthair,,
Cat,Goku,Tutu,Tutu,,,,,,,,2,,,,,
Fish,Miles,Miles,Miles,,,,,,,,5,,Goldfish,Goldfish,,
Cat,Fuzzball,Fuzzybutt,Fuzzybutt,,,,,,,,10,,American Shorthair,American Shorthair,,
Dog,Felix,Felix,Felix,,,,,,,,2,,,,,
Cat,Benjamin,Ben,Ben,,,,,,,,14,,,,,
Dog,Woodruff,Woody,Woody,,,,,,,,10,,Saint Bernard/ Cocker Spaniel,Saint Bernard,Cocker Spaniel,
Cat,Tibby,Tib; Monster,Tib,Monster,,,,,,,3,,,,,
Dog,Kitty Take Your Gloves Off,Reba,Reba,,,,,,,,8,,Golden Retriever,Golden Retriever,,
Cat,Honey,Honey,Honey,,,,,,,,7,,Tabby Coloration,Tabby Coloration,,
Dog,Mulligan,Mull,Mull,,,,,,,,12,,Golden,Golden,,
Dog,Loki,Loki; Goof Ball,Loki,Goof Ball,,,,,,,0.666666667,,Golden Retriever,Golden Retriever,,
Dog,Okemo,Okemo,Okemo,,,,,,,,8,,Australian Cattle Dog,Australian Cattle Dog,,
Dog,Beau,Beau,Beau,,,,,,,,1,,Golden Retriever,Golden Retriever,,
Cat,Lucy,Lucy,Lucy,,,,,,,,6,,,,,
Dog,Zack Attack,Zack,Zack,,,,,,,,10,,Golden Retriever,Golden Retriever,,
Dog,Kendall,Kendall,Kendall,,,,,,,,4,,Hound/ Labrador Retriever,Hound,Labrador Retriever,
Dog,Bailey,Bailey,Bailey,,,,,,,,1,,Labrador Retriever/ Pointer,Labrador Retriever,Pointer,
Dog,Ranger,Ranger,Ranger,,,,,,,,11,,German Shepherd/ Husky,German Shepherd,Husky,
Dog,Dan,Dan,Dan,,,,,,,,12,,Basenji,Basenji,,
Dog,Sir Maximillion Of Binghamton,Max,Max,,,,,,,,10,,Golden Retriever,Golden Retriever,,
Dog,Freya,Freya,Freya,,,,,,,,3,,Pointer/ Sharpei,Pointer,Sharpei,
Dog,Jackson,Jax,Jax,,,,,,,,14,,Golden,Golden,,
Dog,Kurama,Kdog,Kdog,,,,,,,,3,,,,,
Dog,Luchik,Luchik; Luci,Luchik,Luci,,,,,,,5,,German Shepherd/ Husky,German Shepherd,Husky,
Dog,Pippi Hyde,Pippi,Pippi,,,,,,,,11,,Cocker Spaniel,Cocker Spaniel,,
Cat,Scarlet,Purrincess Kitty,Purrincess Kitty,,,,,,,,13,,Domestic Shorthair,Domestic Shorthair,,
Dog,Pearly,Pearl,Pearl,,,,,,,,5.5,,Husky,Husky,,
Cat,Sebastian,Monkey,Monkey,,,,,,,,12,,Domestic Shorthair,Domestic Shorthair,,
Dog,Walter,Walty,Walty,,,,,,,,6,,Cocker Spaniel,Cocker Spaniel,,
Cat,Reeses Pieces,Reesie,Reesie,,,,,,,,2,,Domestic Shorthair,Domestic Shorthair,,
Dog,Buddy Of Bailey's Irish Cream,Buddy,Buddy,,,,,,,,11,,Labrador Retriever,Labrador Retriever,,
Dog,Belle,Belle,Belle,,,,,,,,15,,Golden Retriever,Golden Retriever,,
Cat,Sushi Roll,Sushi,Sushi,,,,,,,,1.5,,American Bobtail,American Bobtail,,
Dog,Zoe Marie,Zoe,Zoe,,,,,,,,6,,German Shepherd,German Shepherd,,
Dog,Wilson,Wilson,Wilson,,,,,,,,4,,Labrador Retriever,Labrador Retriever,,
Cat,Mochi,Mochi,Mochi,,,,,,,,1.5,,American Bobtail,American Bobtail,,
Dog,Reesie,Reesie,Reesie,,,,,,,,14,,Yorkshire Terrier,Yorkshire Terrier,,
Cat,Sasuke,Sasuke,Sasuke,,,,,,,,6,,Unknown,Unknown,,
Cat,Sasuke,Sasuke,Sasuke,,,,,,,,6,,Unknown,Unknown,,
Dog,Bocephus Ray,Bo,Bo,,,,,,,,6,,German Shepherd,German Shepherd,,
Dog,Gunner,Gunny,Gunny,,,,,,,,5,,Labrador Retriever,Labrador Retriever,,
Dog,Stella,Stella,Stella,,,,,,,,12,,Daschund,Daschund,,
Dog,Bailey's Irish Cream,Bailey,Bailey,,,,,,,,13,deceased,Black Golden Retriever,Black Golden Retriever,,
Cat,Abigail,Abby,Abby,,,,,,,,8,,Siamese,Siamese,,
Dog,Poppy,Pops,Pops,,,,,,,,16,,Jack Russell Terrior,Jack Russell Terrier,,
Dog,Nina,Beans,Beans,,,,,,,,12,,Flat Coated Retriever,Flat Coated Retriever,,
Cat,Boris,Boris,Boris,,,,,,,,3,,Sphinx,Sphinx,,
Cat,Smoochey,Moo Moo Cow; Moochey,Moo Moo Cow,Moochey,,,,,,,18,,Domestic Shorthair,Domestic Shorthair,,
Cat,Toast Malone,Toast,Toast,,,,,,,,5,,,,,
Cat,Hex,Hex,Hex,,,,,,,,8,,,,,
Cat,Smudge Of Grey,Smudge,Smudge,,,,,,,,7,,,,,
Dog,Charlotte,Char,Char,,,,,,,,4,,Beagle/ Jack Russell Terrier,Beagle,Jack Russell Terrier,
Dog,Ms. Cuddles,Cuddles,Cuddles,,,,,,,,13.75,,Shih Tzu/ Brussels Griffon,Shih Tzu,Brussels Griffon,
Dog,Wayne Rooney,Roo,Roo,,,,,,,,13,,Border Collie,Border Collie,,
Dog,Snack,Snack,Snack,,,,,,,,2,,Rottweiler/ Cocker Spaniel,Rottweiler,Cocker Spaniel,
Cat,Skipper,Skips,Skips,,,,,,,,16,,,,,
Cat,Nacho Bell Grande,Bean; Nacho,Bean,Nacho,,,,,,,1,,,,,
Dog,Hazel,Zelly; Zz; Hayzelly,Zelly,Zz,Hayzelly,,,,,,3,,Golden Retriever,Golden Retriever,,
Dog,Luna Calamity Barnes,Luna,Luna,,,,,,,,9,,Mixed,Mixed,,
Dog,Hiro Barnes,Hiro,Hiro,,,,,,,,5,,Mixed,Mixed,,
Dog,Ramsey,Ramsey,Ramsey,,,,,,,,0.333333333,,Labrador,Labrador Retriever,,
Dog,Stella Diane,Stella,Stella,,,,,,,,6,,Havanese Type,Havanese Type,,
Dog,Trigger,Trig,Trig,,,,,,,,4,,Labrador Retriever,Labrador Retriever,,
Cat,Noodle,Noodle,Noodle,,,,,,,,3,,Domestic Shorthair,Domestic Shorthair,,
Dog,Héloïse,Héloïse,Héloïse,,,,,,,,10,,Papillon,Papillon,,
Dog,Scout Mcgee,Scout,Scout,,,,,,,,12,,Mittelspitz,Mittelspitz,,
Dog,Milo,Milo,Milo,,,,,,,,2,,Golden Retriever,Golden Retriever,,
Dog,Kolbie,Kolbie,Kolbie,,,,,,,,10,,Beagle,Beagle,,
Dog,Rhyannon's Princess Nikita,Nikki,Nikki,,,,,,,,10.5,,Siberian Husky,Siberian Husky,,
Cat,Scram,Scrammies,Scrammies,,,,,,,,2,,Domestic Mediumhair,Domestic Mediumhair,,
Cat,Darwin,Cat,Cat,,,,,,,,7,,,,,
Cat,Leo,Leo,Leo,,,,,,,,16,,,,,
Cat,Kanga,Kanga,Kanga,,,,,,,,4,,Calico Coloration,Calico Coloration,,
Rabbit,Winona,Winnie,Winnie,,,,,,,,2,,,,,
Cat,Bugaloo Bonzai,Bug,Bug,,,,,,,,7,,,,,
Dog,Malcolm P. Dog,Malcolm,Malcolm,,,,,,,,17,,Mixed,Mixed,,
Dog,Maxwell T. Bone,Max; Browndog,Max,Browndog,,,,,,,11,,Labrador Retriever,Labrador Retriever,,
Cat,Patches,Patch,Patch,,,,,,,,8,,,,,
Dog,Indy,Indy,Indy,,,,,,,,8,,Poodle/ Beagle,Poodle,Beagle,
Dog,Cody Fluffball,Cody,Cody,,,,,,,,11,,Golden Retriever,Golden Retriever,,
Dog,Fudge,Fudgie,Fudgie,,,,,,,,6,,Pug/ Beagle,Pug,Beagle,
Dog,Mia,Mia,Mia,,,,,,,,13,,Golden Retriever,Golden Retriever,,
Cat,Louie,Louie,Louie,,,,,,,,4,,,,,
Cat,Mitzi Junebug Kandinsky,Mitzi,Mitzi,,,,,,,,8,,,,,
Dog,Megan Gabriela Ortega,Moo,Moo,,,,,,,,11,,Boxer,Boxer,,
Cat,Bernie,Bernie; Bernard,Bernie,Bernard,,,,,,,2,,Domestic Longhair,Domestic Longhair,,
Dog,Bel,Bel,Bel,,,,,,,,7,,Cocker Spaniel,Cocker Spaniel,,
Dog,Artie,Artie Party,Artie Party,,,,,,,,14,,Golden Retriever,Golden Retriever,,
Dog,Snickers,Snickers,Snickers,,,,,,,,9,,Beagle/ German Shepherd,Beagle,German Shepherd,
Cat,Hazel,Hazel,Hazel,,,,,,,,4,,Domestic Shorthair,Domestic Shorthair,,
Dog,Blue,Blue,Blue,,,,,,,,7,,Blue Heeler,Blue Heeler,,
Dog,Wally,Wawa,Wawa,,,,,,,,2,,Golden Retriever,Golden Retriever,,
Dog,Copper,Copper,Copper,,,,,,,,10,,Chihuahua,Chihuahua,,
Cat,Harold,Harry,Harry,,,,,,,,0.115384615,,,,,
Lizard,Birdie,Baby Liz,Baby Liz,,,,,,,,7,,,,,
Cat,Sir Jonathan Pooh Cat,Jonathan,Jonathan,,,,,,,,10,,Persian,Persian,,
Dog,Juliet,Jules,Jules,,,,,,,,2,,Pitbull,Pitbull,,
Cat,Scout,Scout,Scout,,,,,,,,9,,Tabby Coloration,Tabby Coloration,,
Dog,Dasher,Dash,Dash,,,,,,,,8,,Labrador Retriever/ Cocker Spaniel,Labrador Retriever,Cocker Spaniel,
Dog,Grace,Gracie,Gracie,,,,,,,,5,,Labrador Retriever,Labrador Retriever,,
Dog,Ruby,Ruby,Ruby,,,,,,,,12,,Mixed,Mixed,,
Bird,Nugget,Nugget,Nugget,,,,,,,,2,,Ring-necked Dove,Ring-necked Dove,,
Dog,Levi,Lee,Lee,,,,,,,,6,,Australian Shepherd,Australian Shepherd,,
Dog,Elle Loki Bean,Bellie,Bellie,,,,,,,,1,,Boxer,Boxer,,
Dog,Dorthea Dix,Doge,Doge,,,,,,,,5,,Golden Retriever,Golden Retriever,,
Dog,Layla Bo Peep,Layla,Layla,,,,,,,,0.333333333,,Puggle,Puggle,,
Dog,Rocky,Rocky,Rocky,,,,,,,,12,,Beagle,Beagle,,
Dog,Tillith,Tilly; Tillbear,Tilly,Tillbear,,,,,,,8,,Hound,Hound,,
Dog,Rollo,Rollo,Rollo,,,,,,,,3.5,,Labrador Retriever,Labrador Retriever,,
Dog,Nisku,Nisku,Nisku,,,,,,,,2,,G-shep,G-shep,,
Cat,Cat,Cat,Cat,,,,,,,,8,,Domestic Longhair,Domestic Longhair,,
Cat,Peaches,Peaches,Peaches,,,,,,,,5,,Persian,Persian,,
Dog,Sadie Jo,Sadie; Tato,Sadie,Tato,,,,,,,5,,Labrador Retriever,Labrador Retriever,,
Dog,Lady,Lady,Lady,,,,,,,,9,,Bernese Mountain Dog,Bernese Mountain Dog,,
Dog,Sammy Q,Sam,Sam,,,,,,,,10,,Golden Retriever,Golden Retriever,,
Cat,Cookie,Cookaroo,Cookaroo,,,,,,,,9,,Siamese,Siamese,,
Cat,Pepper,Bebs,Bebs,,,,,,,,4,,Tabby Coloration,Tabby Coloration,,
Cat,Ipod,Ipod,Ipod,,,,,,,,12,,,,,
Cat,Hank The Cowcat,Hank,Hank,,,,,,,,12,,,,,
Dog,Oliver Phish,Oliver,Oliver,,,,,,,,2,,Pitbull,Pitbull,,
Dog,Cleopatra,Cleo,Cleo,,,,,,,,6,,Italian Mastiff,Italian Mastiff,,
Dog,Birdie,Birdir,Birdir,,,,,,,,1,,Labradoodle,Labradoodle,,
